Timestamp,WHO TF ARE YOU,Lego Land or Sea World,Is Jennifer Garner Hot?,Which Hogwarts House do you more relate to,Where would you rather eat dinner Zupas or JDawgs,Is the Rock a good actor,Which Creamie Flavor - Chocolate or Banana,What % of ice do you fill up a 32oz soda cup with,Five Guys or In-n-Out,How scared of ChatGPT and AI are you?,Super Mario Odyssey or Super Mario 64,Beefy 5 Layer or Chalupa,How many times have you jerked off to Anime/Hentai,Who would you rather have to give a blow job to,Succession or Yellowstone,How many fish have you caught in your life,"Where would you rather live, Alaska or Wyoming.",Spider-man 2 or Spider-man Homecoming,Happy Gilmore or Billy Madison,Would you rather fight a chicken to the death every time you get in your vehicle or once a year fight an orangutan to the death using a broadsword?,Which would you rather have 10k worth of golf gear or one 10k vacation to the destination of your choice,Where would you rather live Kazakhstan or Egypt,Which would you rather have as a pet - A kangaroo or a Giraffe,What kind of porn do you think Andre is most into,How much money would you need to be given to give up all apple products in your life indefinitely. ,Who's dick would you rather suck,Which video game world would you rather live in,Opinion on Jack Harlow,If you're intimate with your partner - how many wasps need to be in the room before you are unable to intimate anymore,Which Top Ramen or Cup Noodles,"If everyone in the UDM screamed as loud as they could, where would your scream rank from loudest to quietest?",How much do you like Lo-fi,How many McDonalds cheeseburgers could you eat in one sitting,Which time period would you rather live in,Who do you think has sucked off more dicks to completion in their lifetime,For data purposes for the next poll - please list up to 10 female celebrities who in your opinion are the hottest.,For data purposes for the next poll - please list up to 10 male celebrities who in your opinion are the hottest.
5/8/2023 17:20:54,Toby,2,2,2,8,10,1,7,7,5,7,5,8,2,5,7,8,3,4,8,3,7,1,7,1,1,9,3,1,1,4,6,6,2,10,,
5/8/2023 17:25:22,Geoff,6,2,8,10,7,10,2,1,5,10,3,3,2,1,5,1,10,1,10,8,10,1,10,1,1,2,6,5,1,8,6,4,1,10,"Alexandra Daddario, Rosemund Pike, Beyoncé, Rihanna, Ana de Armas, Dua Lipa, Natalie Portman, Eva Mendez, Lucy Liu, Mara Rooney","Daniel Craig, Bradley Cooper, Jake Gyllenhall, David Harbor, Ryan Gosling, Brad Pitt, Dev Patel, Andrew Garfield, Chris Pine, Heath Ledger (RIP)"
5/8/2023 17:34:17,Thickening,3,10,3,10,4,1,2,1,3,1,2,2,3,3,4,3,1,3,1,4,5,3,10,3,4,10,6,3,1,7,7,6,8,9,"Gal Gadot, Dua Lipa, Emma Watson, Margot Robbie, Kendall Jenner, Mila Kunis, Blake Lively, Ana De Armas, Selena Gomez, Becky G","Ryan Reynolds, Brad Pitt, Ryan Gosling, Harrison Ford (young), Henry Cavill, Robert Pattinson, Zac Efron, Orlando Bloom, Michael B Jordan, Oscar Isaac"
5/8/2023 17:43:32,Ralph,1,7,8,1,5,10,1,5,4,4,1,1,1,5,2,10,10,1,1,10,10,10,10,5,1,10,3,1,1,5,8,6,10,1,,
5/8/2023 18:33:54,The Cuteness,3,3,2,3,4,4,1,2,4,10,10,1,4,4,8,9,3,3,10,9,8,2,10,5,5,10,5,3,8,10,7,2,3,1,"Margot Robbie, gal Godot, Scarlett Johansson, Zendaya, 
Jennifer Lawrence, Emma Watson",
5/8/2023 18:35:50,Tones,7,3,3,4,7,10,2,4,4,6,8,7,8,3,10,6,3,8,1,7,4,8,10,10,10,3,3,1,1,3,4,4,1,10,"Ana de armas, Anya Taylor joy, ",Timothee chalamet
5/8/2023 18:41:23,Nebuchanezzar,1,3,3,10,9,1,3,10,7,10,1,1,10,2,10,7,1,3,10,8,6,8,8,6,3,9,7,1,8,7,7,6,2,1,I don’t want to,I don’t want to
5/8/2023 22:08:31,Wake,2,2,3,5,8,1,3,2,5,1,3,1,5,1,1,8,10,2,1,10,,7,10,10,1,6,4,1,1,7,7,4,1,10,,
5/8/2023 22:20:06,Snake Dr.,1,10,10,3,4,10,2,2,4,1,7,10,6,8,8,1,4,4,10,10,2,,10,1,1,1,5,1,3,7,8,6,10,4,,
5/9/2023 0:51:56,Bork,2,10,8,1,7,1,7,3,5,10,10,1,1,5,10,3,5,3,10,10,2,10,10,4,5,6,4,3,1,6,9,5,8,7,"Megan Fox
Blake lively
Jennifer Aniston
Mila Kunis ",
5/9/2023 6:00:33,Casper,1,4,8,10,8,2,3,3,10,10,2,1,1,5,10,10,10,1,10,10,10,10,10,2,7,10,3,1,1,10,9,6,1,8,Tbd,Tbd
5/9/2023 7:35:53,Knud Knud,6,4,8,3,4,9,5,10,3,10,7,5,5,6,1,7,6,1,10,3,3,8,4,1,3,4,2,1,1,6,9,5,3,3,,
